;q	：“
(⺷女𠂇⺝,IdSmGlMd,,CJK-B)	𡡭
(女宀目,SmErMzGy,,CJK-B)	𡡮
(女火火冖力,SmYvYvAu,,CJK-B)	𡡯
(女大非一,SmXiDmFh,,CJK-B)	𡡰
(女王王亼乛,SmGiGiPv,,CJK-B)	𡡱
(女十日十月,SmGlJeMd,,CJK-B)	𡡲
(女牙隹,SmYbVh,,CJK-B)	𡡳
(木乂乂木女,AjOsOsSm,,CJK-B)	𡡴
(女士一木攵,SmMfFhRy,,CJK-B)	𡡵
(女⺿宀夕⺋,SmWhErWj,,CJK-B)	𡡶
(女⺿土儿夂,SmWhBmJt,,CJK-B)	𡡷
(女止舟刂,SmLdLkKg,,CJK-B)	𡡸
(女㡀攵,SmKtRy,,CJK-B)	𡡹
(女水水水,SmHgHgHg,miǎo,CJK-B)	𡡺
(女山目,SmDsMzGy,,CJK-B)	𡡻
(臼儿口丨女,WiAhIqSm,,CJK-B)	𡡼
(女人鬲,SmSiPw,,CJK-B)	𡡽
(女人人丨厂目,SmSiSiGy,,CJK-B)	𡡾
(女冖巾口,SmYqErIq,,CJK-B)	𡡿
(女巳巳龷八,SmDuDuVy,zhuàn,CJK-B)	𡢀
(⺄女,MzVyPvSm,,CJK-B)	𡢁
(土八土㇈女,BmVyBmSm,,CJK-B)	𡢂
(女門日,SmAcJe,,CJK-B)	𡢃
(女門文,SmAcWm,,CJK-B)	𡢄
(女⻗云,SmTfPd,,CJK-B)	𡢅
(女巛龱心,SmJvLwNg,,CJK-B)	𡢆
(女一心,SmFhWuNg,,CJK-B)	𡢇
(氵日一勹女,HgJeFhSm,dàng,CJK-B)	𡢈
(女而而,SmUaUa,,CJK-B)	𡢉
(女罒貝,SmYtIc,yuān,CJK-B)	𡢊
(女止止止,SmLdLdLd,,CJK-B)	𡢋
(女穴丨日,SmZiKsVy,,CJK-B)	𡢌
(女止匕貝,SmLdHsIc,,CJK-B)	𡢍
(儿生女,ZhAhDhSm,,CJK-B)	𡢎
(米女勹文,MgSmSnWm,,CJK-B)	𡢏
(米女⺁一口,MgSmOyIq,,CJK-B)	𡢐
(罒又又又又女,YtWiWiSm,,CJK-B)	𡢑
(女⺮豆,SmZiEi,jǔ,CJK-B)	𡢒
(女鬲㐄,SmPwGj,,CJK-B)	𡢓
(亾口月女丸,XcIqMdTk,,CJK-B)	𡢔
(臼土殳女,WiBmQiSm,huǐ,CJK-B)	𡢕
(車凵殳女,JlZvQiSm,qì,CJK-B)	𡢖
(丿龱女,WiCkLwSm,,CJK-B)	𡢗
(女黾,SmAy,yùn_yíng,CJK-B)	𡢘
(女虍爫寸,SmQbToLw,,CJK-B)	𡢙
(女日罒方,SmJeYtMx,màn,CJK-B)	𡢚
(丿幺幺幺山女,CkBlBlSm,,CJK-B)	𡢛
(广礻⺈小女,GpDdRlSm,mǒ,CJK-B)	𡢜
(女臼土攵,SmWiBmRy,,CJK-B)	𡢝
(女目目女,SmGyGySm,,CJK-B)	𡢞
(女木木疋,SmAjAjKf,,CJK-B)	𡢟
(女穴口冂口,SmZiIqIq,,CJK-B)	𡢠
(女丿口羊,SmSiCkId,,CJK-B)	𡢡
(女虍口㇞大,SmQbIqXi,,CJK-B)	𡢢
(亼口月女㇈𠂇,TuIqMdGl,,CJK-B)	𡢣
(女冎口辶,SmFvIqLt,,CJK-B)	𡢤
(女木木,SmIdAjAj,,CJK-B)	𡢥
(广亻隹女,GpKjVhSm,,CJK-B)	𡢦
(女冖八日乚,SmYqErPv,,CJK-B)	𡢧
(女耳口王,SmQgIqGi,,CJK-B)	𡢨
(女厂口⺝攵,SmOyIqRy,,CJK-B)	𡢩
(女⺿非一,SmWhDmFh,,CJK-B)	𡢪
(女⺿䒑幺幺,SmWhVyBl,,CJK-B)	𡢫
(女⺿廿㇗木,SmWhXkAj,,CJK-B)	𡢬
(女丿大非一,SmCkXiFh,,CJK-B)	𡢭
(言幺幺女,MeBlBlSm,,CJK-B)	𡢮
(女艹ㅌ土女,SmWhSiSm,,CJK-B)	𡢯
(女巳女,SmDzDuSm,,CJK-B)	𡢰
(女覀示刂,SmQpDdKg,piāo,CJK-B)	𡢱
(女木冂貝,SmAjZvIc,,CJK-B)	𡢲
(女戊一口心,SmUcFhNg,jìn,CJK-B)	𡢳
(女大丷日火,SmXiVyYv,,CJK-B)	𡢴
(女幺力,SmTfBlAu,,CJK-B)	𡢵
(女臼土殳,SmWiBmQi,,CJK-B)	𡢶
(女穴又又又又,SmZiWiWi,,CJK-B)	𡢷
(女門厶廾,SmAcNdWh,,CJK-B)	𡢸
(女女女田力,SmSmSmAu,yāo,CJK-B)	𡢹
(口丨女广人,SfIqKsSi,,CJK-B)	𡢺
(女亻龶貝,SmKjZhIc,,CJK-B)	𡢻
(女艹勹甫,SmWhSnGn,,CJK-B)	𡢼
(女⻗田,SmTfSl,,CJK-B)	𡢽
(女木木示,SmAjAjDd,,CJK-B)	𡢾
(女曲辰,SmRwQn,,CJK-B)	𡢿
(阝广大人人女,TjGpXiSm,chì,CJK-B)	𡣀
(女子子子日,SmYdYdJe,nì,CJK-B)	𡣁
(冫束欠女,LvUhFySm,sōu,CJK-B)	𡣂
(女𱕻⺝,SmLwMd,,CJK-B)	𡣃
(女氵弓冫弓冫,SmHgOdLv,,CJK-B)	𡣄
(土見女,BmYvScSm,,CJK-B)	𡣅
(女𠂉卌一夕㐄,SmLdDsGj,,CJK-B)	𡣆
(女广大人人心,SmGpXiNg,,CJK-B)	𡣇
(女罒耂日,SmYtRiJe,shù,CJK-B)	𡣈
(禾女田一,ZpSmSlOr,,CJK-B)	𡣉
(女亽龴囗,SmTuNdId,,CJK-B)	𡣊
(女覀示寸,SmQpDdLw,piāo,CJK-B)	𡣋
(女⺷言,SmIdMe,,CJK-B)	𡣌
(亡口月女㇈,XcIqMdPc,,CJK-B)	𡣍
(立未斤女,YqJxOzSm,,CJK-B)	𡣎
(女口吅人彡,SmIqRuBl,,CJK-B)	𡣏
(革皮女,GoEmSm,,CJK-B)	𡣐
(女宀二儿貝,SmErRlIc,,CJK-B)	𡣑
(女束束,SmUhUh,,CJK-B)	𡣒
(女匚虫貝,SmEhJwIc,,CJK-B)	𡣓
(女亽ヿ龴囗,SmTuPvId,hàn,CJK-B)	𡣔
(女宀貝,SmErMzIc,,CJK-B)	𡣕
(女衣,SmXyOr,,CJK-B)	𡣖
(女壴力口,SmHsAuIq,,CJK-B)	𡣗
(女冖一豕,SmYvErKt,,CJK-B)	𡣘
(女亠{齊字腰}二,SmUeIuRl,,CJK-B)	𡣙
(女宀卝見,SmErWhSc,,CJK-B)	𡣚
(女言丷口儿,SmMeVyAh,,CJK-B)	𡣛
(女厂工耳攵,SmOyNvRy,,CJK-B)	𡣜
(女羽亠人人十,SmEhUeGl,,CJK-B)	𡣝
(女耳又人人人,SmQgWiSi,,CJK-B)	𡣞
(女門耳,SmAcQg,,CJK-B)	𡣟
(田力田力女,SlAuSlSm,yāo,CJK-B)	𡣠
(女田力田力,SmSlAuAu,,CJK-B)	𡣡
(千里禾女,HcDnZpSm,néi,CJK-B)	𡣢
(女八丷人目,SmVyVyGy,,CJK-B)	𡣣
(女亼龴十冂,SmTuNdId,,CJK-B)	𡣤
(女麻女,SmOnSm,,CJK-B)	𡣥
(女幺幺一幺幺㇗,SmBlBlPv,,CJK-B)	𡣦
(女厂罒貝,SmOyYtIc,,CJK-B)	𡣧
(女艹土厶皿,SmWhBmBk,,CJK-B)	𡣨
(氵廿巾入入女,HgXkUwSm,,CJK-B)	𡣩
(女冂古辶,SmYqZvLt,shì,CJK-B)	𡣪
(女黑土,SmUcBm,,CJK-B)	𡣫
(女罒厂罒大,SmYtOyXi,yuān,CJK-B)	𡣬
(女虍田心,SmQbSlNg,,CJK-B)	𡣭
(女艹示,SmWhVyDd,cài,CJK-B)	𡣮
(女小隹戈,SmOtVhIe,jié,CJK-B)	𡣯
(女木人人一囗口,SmAjSiIq,,CJK-B)	𡣰
(女罒土口𧘇,SmYtBmOr,,CJK-B)	𡣱
(女宀大丷日小,SmErXiOt,,CJK-B)	𡣲
(女十戈非一,SmGlIeFh,,CJK-B)	𡣳
(女戈鳥,SmIeTl,,CJK-B)	𡣴
(女臣糸,SmDzZiHt,,CJK-B)	𡣵
(女夫夫貝,SmSvSvIc,,CJK-B)	𡣶
(女甫方攵,SmGnMxRy,,CJK-B)	𡣷
(女山隹,SmDsVhZv,,CJK-B)	𡣸
(言火火女,MeYvYvSm,xiè,CJK-B)	𡣹
(女丰丰心,SmZhZhNg,,CJK-B)	𡣺
(女艹車辶,SmWhJlLt,,CJK-B)	𡣻
(亠人人⺄屮凵女,UeSiSiSm,,CJK-B)	𡣼
(女門⺈臼,SmAcRlWi,yán,CJK-B)	𡣽
(女⺿肀片爿一,SmWhUaFh,xiāo,CJK-B)	𡣾
(古女,WiQmPuSm,,CJK-B)	𡣿
(女口目,SmIqGyNb,,CJK-B)	𡤀
(女宀二儿目灬,SmErRlYv,,CJK-B)	𡤁
(女千黑力,SmHcUcAu,,CJK-B)	𡤂
(女⺿門月,SmWhAcMd,,CJK-B)	𡤃
(女⺿門木,SmWhAcAj,,CJK-B)	𡤄
(女立木見,SmYqAjSc,,CJK-B)	𡤅
(女車覀女,SmJlQpSm,,CJK-B)	𡤆
(女山{微框}几,SmDsYaPs,,CJK-B)	𡤇
(廿口匕灬女,XkIqNbSm,,CJK-B)	𡤈
(女止頁,SmLdLdWv,,CJK-B)	𡤉
(女丿士氵耂日,SmCkMfJe,,CJK-B)	𡤊
(女歺又非一,SmQmWiFh,xiè,CJK-B)	𡤋
(女厂禾禾止,SmOyZpLd,lì,CJK-B)	𡤌
(禾女厂白小,ZpSmOyOt,,CJK-B)	𡤍
(女匕匕儿,SmZhHsAh,fàn,CJK-B)	𡤎
(女艹丿㠯辛,SmWhCkJt,,CJK-B)	𡤏
(女宀井貝,SmErBzIc,,CJK-B)	𡤐
(女⺿土人人囗口,SmWhBmIq,,CJK-B)	𡤑
(女一ㄅ丨,SmWiFhPc,,CJK-B)	𡤒
(女厶口罒貝,SmNdIqIc,,CJK-B)	𡤓
(罒貝女厶口,YtIcSmIq,,CJK-B)	𡤔
(女⻗二コ又,SmTfMzWi,,CJK-B)	𡤕
(女匚矢殳羽,SmEhEuEh,,CJK-B)	𡤖
(女罒勹虫火,SmYtSnYv,zhù,CJK-B)	𡤗
(女一心,SmFhKtNg,,CJK-B)	𡤘
(女耳耳耳,SmQgQgQg,nà,CJK-B)	𡤙
(女丿龱一火,SmWiCkYv,,CJK-B)	𡤚
(女車十田寸,SmJlGlLw,zhuǎn,CJK-B)	𡤛
(士冖豆冫欠女,MfErEiSm,,CJK-B)	𡤜
(女丿扌鳥,SmCkPcTl,,CJK-B)	𡤝
(女⿔,SmSi,kuī,CJK-B)	𡤞
(女子石石石,SmYdQqQq,,CJK-B)	𡤟
(女礻曲豆,SmDdRwEi,,CJK-B)	𡤠
(女門幺幺丱,SmAcBlWh,,CJK-B)	𡤡
(女罒糹隹,SmYtHtVh,luó,CJK-B)	𡤢
(女糹言糸,SmHtMeHt,,CJK-B)	𡤣
(女艹白幺幺木,SmWhDyAj,,CJK-B)	𡤤
(女亻丨夂黑,SmKjKsUc,,CJK-B)	𡤥
(女⺿土八土丸云,SmWhBmPd,,CJK-B)	𡤦
(女宀王⺈小貝,SmErGiIc,,CJK-B)	𡤧
(糹言糸女,HtMeHtSm,,CJK-B)	𡤨
(女曲豆⺈巴,SmRwEiEw,,CJK-B)	𡤩
(女⺮戈非一,SmZiIeFh,,CJK-B)	𡤪
(齒可女,YbZjSm,qiā,CJK-B)	𡤫
(女目目隹又,SmGyGyWi,,CJK-B)	𡤬
(女黑,SmXyUc,,CJK-B)	𡤭
(女羊言言,SmIdMeMe,,CJK-B)	𡤮
(女田田田糸,SmSlSlHt,,CJK-B)	𡤯
(女火火冖鳥,SmYvYvTl,,CJK-B)	𡤰
(女臣罒見,SmDzZiSc,,CJK-B)	𡤱
(女⺊𱕻日口凵亅,SmDhLwKs,,CJK-B)	𡤲
(儿儿女儿,ZhAhZhAh,,CJK-B)	𡤳
(女亠{齊字腰}二,SmTfUeRl,,CJK-B)	𡤴
(女士冖豆冫欠心,SmMfErNg,,CJK-B)	𡤵
(女言糹糹弓,SmMeHtOd,wān,CJK-B)	𡤶
(女⺮人人戈非一,SmZiSiFh,,CJK-B)	𡤷
(女山丰丰豆⺈巴,SmDsZhEw,,CJK-B)	𡤸
(女兔兔兔,SmZhZhZh,,CJK-B)	𡤹
(兔兔女兔,ZhZhSmZh,,CJK-B)	𡤺
(女言糹糹鳥,SmMeHtTl,,CJK-B)	𡤻
(了㇀,FuFh,,CJK-B)	𡤼
(子一,YdFh,shǔ,CJK-B)	𡤽
(子二,YdRl,,CJK-B)	𡤾
(子人,YdSi,chèng_kǒng,CJK-B)	𡤿
(子八,YdVy,,CJK-B)	𡥀
(子刂,YdKg,yì,CJK-B)	𡥁
(𠂇子,GlYd,,CJK-B)	𡥂
(子女,YdSm,,CJK-B)	𡥃
(子口,YdIq,,CJK-B)	𡥄
(扌子,PcYd,,CJK-B)	𡥅
(ヿ土子,PvBmYd,hǎo_hào,CJK-B)	𡥆
(十子八,GlYdVy,,CJK-B)	𡥇
(乂乂子,OsOsYd,jiào,CJK-B)	𡥈
(㐅𠂇子,OsGlYd,,CJK-B)	𡥉
(子毛,YdOu,,CJK-B)	𡥊
(子,QbYd,huì,CJK-B)	𡥋
(子日,YdJe,,CJK-B)	𡥌
(又又子,WiWiYd,xiào,CJK-B)	𡥍
(止匕子,LdHsYd,cí_zǐ,CJK-B)	𡥎
(山亼子,DsTuYd,,CJK-B)	𡥏
(山人子,DsSiYd,,CJK-B)	𡥐
(子木乚,YdAjPv,,CJK-B)	𡥑
(未子,JxYd,,CJK-B)	𡥒
(子母,YdQt,,CJK-B)	𡥓
(田子,SlYd,,CJK-B)	𡥔
(口乃子,IqViYd,,CJK-B)	𡥕
(亻弋子,KjNdYd,,CJK-B)	𡥖
(乃夂子,ViJtYd,,CJK-B)	𡥗
(母子,QtYd,,CJK-B)	𡥘
(子刀口,YdKgIq,,CJK-B)	𡥙
(子可,YdZj,,CJK-B)	𡥚
(子丿未,YdCkJx,,CJK-B)	𡥛
(宀巛子,ErJvYd,,CJK-B)	𡥜
(幺幺子,BlBlYd,,CJK-B)	𡥝
(爫冖子,ToErYd,jì_bèi,CJK-B)	𡥞
(覀子,QpYd,,CJK-B)	𡥟
(子丿皿,YdCkBk,,CJK-B)	𡥠
(子六乂,YdCaOs,,CJK-B)	𡥡
(子不凵,YdCiZv,,CJK-B)	𡥢
(⺊日子,DhJeYd,,CJK-B)	𡥣
(子耒,YdFu,,CJK-B)	𡥤
(子夕夕,YdXuXu,,CJK-B)	𡥥
(子子子,YdYdYd,nǐ_jìn,CJK-B)	𡥦
(子尸丶゛,YdMzOeLv,,CJK-B)	𡥧
(子子日,YdYdJe,nǐ_jìn,CJK-B)	𡥨
(子丷𢎨,YdVyUv,tǐ,CJK-B)	𡥩
(子言,YdMe,,CJK-B)	𡥪
(亼一口子,TuFhIqYd,,CJK-B)	𡥫
(禾刂子,ZpKgYd,,CJK-B)	𡥬
(卪爫子,WjToYd,,CJK-B)	𡥭
(方攵子,MxRyYd,,CJK-B)	𡥮
(忄句子,NgTqYd,,CJK-B)	𡥯
(子十目一,YdGlGyFh,,CJK-B)	𡥰
(子⺆土口,YdZvBmIq,,CJK-B)	𡥱
(臼儿子,WiAhYd,,CJK-B)	𡥲
(𠕁子,JzVyYd,,CJK-B)	𡥳
(子白工,YdDyNv,,CJK-B)	𡥴
(子日匕,YdJeHsHs,,CJK-B)	𡥵
(子丿口⽱,YdCkIqFj,jù_rú,CJK-B)	𡥶
(尸子尸子,MzYdMzYd,,CJK-B)	𡥷
(尸毛乃子,MzOuViYd,mìng,CJK-B)	𡥸
(子人,WnYdEhSi,,CJK-B)	𡥹
(口儿屮一子,IqAhIaYd,,CJK-B)	𡥺
(禾火子,ZpYvYd,,CJK-B)	𡥻
(子⺈貝,YdRlIc,,CJK-B)	𡥼
(未攵子,JxRyYd,lí,CJK-B)	𡥽
(子冎口,YdFvIq,,CJK-B)	𡥾
(子千里,YdHcDn,zhòng,CJK-B)	𡥿
(子乚日月,YdPvJeMd,,CJK-B)	𡦀
(彑子,SiKtYd,xù,CJK-B)	𡦁
(宀子宀子,ErYdErYd,,CJK-B)	𡦂
(火火冖子,YvYvErYd,qióng,CJK-B)	𡦃
(夕夕爫子,XuXuToYd,fú,CJK-B)	𡦄
(子勹勹,YdSnIaIa,,CJK-B)	𡦅
(白丿十乃子,DyCkGlYd,bìn,CJK-B)	𡦆
(子日𠂉月,YdJeLdMd,,CJK-B)	𡦇
(亼龴子瓜,TuNdYdQj,,CJK-B)	𡦈
(子虫文,YdJwWm,,CJK-B)	𡦉
(耂子子子,RiYdYdYd,jì,CJK-B)	𡦊
(臣𠂉一一子,DzLdFhYd,,CJK-B)	𡦋
(子一业日,YdFhOqJe,,CJK-B)	𡦌
(子文耳,YdWmQg,qí,CJK-B)	𡦍
(子气米,YdFqMg,xì,CJK-B)	𡦎
(子子子日,YdYdYdJe,,CJK-B)	𡦏
(火勹日子,YvSnJeYd,,CJK-B)	𡦐
(夫見子,SvScYd,,CJK-B)	𡦑
(子山日匕,YdDsJeHs,,CJK-B)	𡦒
(子小隹,YdOtVh,,CJK-B)	𡦓
(冖巾乃子,YqErUwYd,dèng,CJK-B)	𡦔
(子十田寸,YdGlSlLw,ér,CJK-B)	𡦕
(子廿巾入入,YdXkUwXj,,CJK-B)	𡦖
(子{凬字心}丨勹灬,YdTeKsYv,,CJK-B)	𡦗
(子而而,YdUaUa,,CJK-B)	𡦘
(山山山宀子,DsDsDsYd,,CJK-B)	𡦙
(子束,WnYdUh,,CJK-B)	𡦚
(丿扌子,CkPcIeYd,shú,CJK-B)	𡦛
(子立里,YdYqDn,tóng,CJK-B)	𡦜
(⺆土口耂子,ZvBmIqYd,xiāo_xiáo,CJK-B)	𡦝
(子歺又米,YdQmWiMg,,CJK-B)	𡦞
(子白丿十,WnYdDyGl,pí,CJK-B)	𡦟
(禾隹子,ZpVhYd,,CJK-B)	𡦠
(子耂日,WnYdRiJe,,CJK-B)	𡦡
(爫子千里,ToYdHcDn,,CJK-B)	𡦢
(山阝辛子,DsTjJtYd,,CJK-B)	𡦣
(米女攵子,MgSmRyYd,,CJK-B)	𡦤
(尸毛子子子,MzOuYdYd,,CJK-B)	𡦥
(子丸火,WnYdTkYv,,CJK-B)	𡦦
(禾子亠人人十,ZpYdUeGl,,CJK-B)	𡦧
(子虎,WnYdQb,dǎn,CJK-B)	𡦨
(日高子,JeWnYd,,CJK-B)	𡦩
(子子子子子子,YdYdYdYd,jí,CJK-B)	𡦪
(子斤斤貝,YdOzOzIc,,CJK-B)	𡦫
(日高子,JeWnYd,,CJK-B)	𡦬
(㐅𠂇子勹灬,OsGlYdYv,,CJK-B)	𡦭
(子艹癶豆,YdWhVyEi,,CJK-B)	𡦮
(山辟子,DsRkYd,,CJK-B)	𡦯
(子乂乂冖子,YdWiOsYd,,CJK-B)	𡦰
(勹灬耂子,CuSnYvYd,,CJK-B)	𡦱
(耂子一ㄅ灬,RiYdCuYv,,CJK-B)	𡦲
(耂子勹灬,RiYdCuYv,xiào,CJK-B)	𡦳
(乂乂子勹灬,OsOsYdYv,,CJK-B)	𡦴
(一ㄅ灬耂子,CuFhPvYd,,CJK-B)	𡦵
(子瓜斗,YdQjByPf,,CJK-B)	𡦶
(子子子日子子子,YdYdYdYd,cóng,CJK-B)	𡦷
(亼口皿乂乂冖子,TuIqBkYd,,CJK-B)	𡦸
(丶几㇢,OePsPv,,CJK-B)	𡦹
(宀乃,ErVi,,CJK-B)	𡦺
(宀⺋,ErWj,bīn,CJK-B)	𡦻
(宀人,ErSi,rǒng,CJK-B)	𡦼
(宀亡,ErXc,,CJK-B)	𡦽
(宀小,ErOt,,CJK-B)	𡦾
(宀一,ErVyFh,,CJK-B)	𡦿
(宀也,ErHe,,CJK-B)	𡧀
(宀马,ErXh,,CJK-B)	𡧁
(宀一勹,ErFhSn,,CJK-B)	𡧂
(宀亍,ErJb,,CJK-B)	𡧃
(宀丸,ErTk,,CJK-B)	𡧄
(宀廾,ErWh,,CJK-B)	𡧅
(宀一,ErFhVy,,CJK-B)	𡧆
(宀工,ErNv,,CJK-B)	𡧇
(宀二ㄅ,ErRlPv,,CJK-B)	𡧈
(宀一儿,ErFhAh,,CJK-B)	𡧉
(宀一,ErFhKg,,CJK-B)	𡧊
(宀刀,ErVyKg,,CJK-B)	𡧋
(宀九又,ErDpWi,,CJK-B)	𡧌
(宀一丨㇗𠃌,ErFhKsPv,miàn_bīn,CJK-B)	𡧍
(宀一⺊ㄅ,ErFhDhPv,,CJK-B)	𡧎
(宀匕,ErHsHs,,CJK-B)	𡧏
(宀ヿ,ErPvVy,,CJK-B)	𡧐
(宀㇞大,ErPvXi,,CJK-B)	𡧑
(宀歹,ErQm,miàn,CJK-B)	𡧒
(宀⺝,ErMd,,CJK-B)	𡧓
(宀殳,ErQi,shū,CJK-B)	𡧔
(宀又又,ErWiWi,xiáo_shǒu,CJK-B)	𡧕
(宀子八,ErYdVy,bǎo,CJK-B)	𡧖
(宀瓦,ErFn,wà,CJK-B)	𡧗
(宀豕,ErKt,,CJK-B)	𡧘
(宀卯,ErFm,pào,CJK-B)	𡧙
(宀山力,ErDsAu,,CJK-B)	𡧚
(宀亻寸,ErKjLw,,CJK-B)	𡧛
(宀亻丿七,ErKjCkLn,,CJK-B)	𡧜
(宀乛冂㐅,ErPvZvOs,,CJK-B)	𡧝
(宀尢彡,ErGhBl,,CJK-B)	𡧞
(宀目,ErGy,,CJK-B)	𡧟
(宀大,ErHsXi,,CJK-B)	𡧠
(宀一止,ErFhLd,,CJK-B)	𡧡
(宀工八,ErNvVy,,CJK-B)	𡧢
(宀𠂇口,ErGlIq,gǎi,CJK-B)	𡧣
(宀一勹,ErFhSnBl,,CJK-B)	𡧤
(宀口丨𠃌,ErIqKsPv,hū,CJK-B)	𡧥
(宀矢,ErEu,héng,CJK-B)	𡧦
(宀月一,ErMdFh,,CJK-B)	𡧧
(宀屮凵,ErIaZv,zhú,CJK-B)	𡧨
(宀土土,ErBmBm,guāi,CJK-B)	𡧩
(宀土丿七,ErBmCkLn,,CJK-B)	𡧪
(宀九心,ErDpNg,,CJK-B)	𡧫
(宀亾,ErXcJv,,CJK-B)	𡧬
(宀⺈厂⺋,ErRlOyWj,guì_guǐ,CJK-B)	𡧭
(宀日,ErJeHs,,CJK-B)	𡧮
(宀⺊一小,ErDhFhOt,,CJK-B)	𡧯
(宀缶,ErUs,,CJK-B)	𡧰
(宀工口,ErNvIq,,CJK-B)	𡧱
(宀丁口丨,ErUeIqKs,,CJK-B)	𡧲
(宀西,ErQp,,CJK-B)	𡧳
(宀一勹丶,ErFhSnOe,,CJK-B)	𡧴
(宀十,ErPdGl,,CJK-B)	𡧵
(宀大口,ErXiIq,,CJK-B)	𡧶
(宀厶牛,ErNdLz,,CJK-B)	𡧷
(宀夂山,ErJtDs,,CJK-B)	𡧸
(宀由一,ErIsFh,dài,CJK-B)	𡧹
(宀丿㠯,ErCkUs,,CJK-B)	𡧺
(宀⺁一口,ErOyFhIq,,CJK-B)	𡧻
(穴日,ZiJe,bīn,CJK-B)	𡧼
(宀亡,ErXcJv,huǎng_huāng,CJK-B)	𡧽
(宀乛皿,ErPvBk,,CJK-B)	𡧾
(宀乃戈,ErViIe,,CJK-B)	𡧿
(宀人禾,ErSiZp,chá,CJK-B)	𡨀
(宀土,ErBmYv,,CJK-B)	𡨁
(宀五口,ErJiIq,,CJK-B)	𡨂
(宀一氺丶,ErFhHgOe,,CJK-B)	𡨃
(宀井,ErBzVy,xià_sāi,CJK-B)	𡨄
(宀尸𠃌口,ErMzPvIq,jú,CJK-B)	𡨅
(宀夕夕一,ErXuXuFh,,CJK-B)	𡨆
(宀白,ErDyHs,yǎo_xiǎng,CJK-B)	𡨇
(宀一冂巳一,ErFhZvFh,,CJK-B)	𡨈
(宀尸丶丿七,ErMzOeLn,,CJK-B)	𡨉
(宀土冖又,ErBmErWi,,CJK-B)	𡨊
(宀且八,ErRhVy,,CJK-B)	𡨋
(宀寸口丨,ErLwIqKs,,CJK-B)	𡨌
(宀儿瓦,ErAhFn,,CJK-B)	𡨍
(宀火寸,ErYvLw,,CJK-B)	𡨎
(宀廿大,ErXkXi,,CJK-B)	𡨏
(宀火口,ErYvIq,,CJK-B)	𡨐
(宀心丿凵,ErNgCkZv,,CJK-B)	𡨑
(宀王大,ErGiXi,,CJK-B)	𡨒
(宀五,ErJiJv,,CJK-B)	𡨓
(宀一人人十,ErFhSiGl,,CJK-B)	𡨔
(宀日,ErJeVy,,CJK-B)	𡨕
(宀禾刂,ErZpKg,fěn,CJK-B)	𡨖
(宀白七,ErDyLn,zào,CJK-B)	𡨗
(宀兎,ErZh,,CJK-B)	𡨘
(穴人寸,ZiSiLw,,CJK-B)	𡨙
(宀儿,ErZhAh,,CJK-B)	𡨚
(宀夂丰,ErJtZh,fēng,CJK-B)	𡨛
(宀丶廾,ErOeWhJv,,CJK-B)	𡨜
(宀火夕,ErYvXu,,CJK-B)	𡨝
(宀冖又,ErSiErWi,,CJK-B)	𡨞
(宀⺧口,ErLzIq,,CJK-B)	𡨟
(宀人人土,ErSiSiBm,,CJK-B)	𡨠
(宀⺈冂大,ErRlZvXi,,CJK-B)	𡨡
(宀尸古,ErMzQm,jū,CJK-B)	𡨢
(宀牜攴,ErLzRy,yù,CJK-B)	𡨣
(宀又又又又,ErWiWiWi,,CJK-B)	𡨤
(宀二儿攵,ErRlAhRy,,CJK-B)	𡨥
(宀冖巾,ErSiErUw,,CJK-B)	𡨦
(宀亠人人十,ErUeSiGl,,CJK-B)	𡨧
(宀大丷夕,ErXiVyXu,,CJK-B)	𡨨
(宀氏日,ErQuJe,hūn,CJK-B)	𡨩
(宀心月,ErNgMd,,CJK-B)	𡨪
(宀宀示,ErErDd,,CJK-B)	𡨫
(宀又皿亅,ErWiBkKs,,CJK-B)	𡨬
(宀木厶,ErAjVyNd,,CJK-B)	𡨭
(宀石大,ErQqXi,,CJK-B)	𡨮
(宀臼十,ErWiGl,,CJK-B)	𡨯
(宀,ErDm,,CJK-B)	𡨰
(宀亻土土,ErKjBmBm,,CJK-B)	𡨱
(宀龶𧘇,ErZhOr,jié,CJK-B)	𡨲
(宀老人,ErRiSi,xiòng_hùn,CJK-B)	𡨳
(宀一丿皿亅,ErFhCkKs,,CJK-B)	𡨴
(宀大日一,ErXiJeFh,nài,CJK-B)	𡨵
(宀日火,ErJeYv,,CJK-B)	𡨶
(宀⺧儿人,ErLzAhSi,,CJK-B)	𡨷
(宀丁宀子,ErUeErYd,,CJK-B)	𡨸
(宀寸宀丁,ErLwErUe,,CJK-B)	𡨹
(宀丁宀寸,ErUeErLw,,CJK-B)	𡨺
(宀爫子乚,ErToYdPv,nǒu,CJK-B)	𡨻
(宀火火,ErYvYv,,CJK-B)	𡨼
(宀小丿目,ErOtCkGy,shěng,CJK-B)	𡨽
(宀覀土,ErQpBm,,CJK-B)	𡨾
(宀丿冂㐅火,ErCkZvYv,yù,CJK-B)	𡨿
(宀彑,ErSiKt,,CJK-B)	𡩀
(宀立木,ErYqAj,,CJK-B)	𡩁
(宀一丿皿八,ErFhCkVy,huán,CJK-B)	𡩂
(宀忄一月一,ErNgFhFh,gěng,CJK-B)	𡩃
(宀儿力,ErZhAhAu,wǎn,CJK-B)	𡩄
(宀一䒑巾,ErFhVyUw,,CJK-B)	𡩅
(束宀匕,UhErHs,tuó,CJK-B)	𡩆
