⺀	(丶丶,OeOe,bīng_èr,部首補充)
𥌵	(廿口人丷土目匕,XkIqSiHs,,CJK-B)
𥌶	(目人貝,GyWiSiIc,,CJK-B)
𥌷	(目宀龶罒心,GyErZhNg,,CJK-B)
𥌸	(目門⺈臼,GyAcRlWi,,CJK-B)
𥌹	(目金白巾,GyTkDyUw,,CJK-B)
𥌺	(目龠,GySy,yào,CJK-B)
𥌻	(目門束丷,GyAcUhVy,lán,CJK-B)
𥌼	(目口吅,GyTfIqRu,líng,CJK-B)
𥌽	(目貝貝女,GyIcIcSm,yīng,CJK-B)
𥌾	(目广亻隹心,GyGpKjNg,yīng,CJK-B)
𥌿	(目木示氺,GyAjDdHg,lì,CJK-B)
𥍀	(目人人戈非一,GySiSiFh,jiǎn,CJK-B)
𥍁	(丿㠯止冖巾目,CkUsLdGy,guī_guì,CJK-B)
𥍂	(目廿口匕灬,GyXkIqYv,,CJK-B)
𥍃	(目口虫隹,GyIqJwVh,,CJK-B)
𥍄	(目光宀寸目,GySjErGy,,CJK-B)
𥍅	(入龷入龷人目干,XjXkXjLr,guān,CJK-B)
𥍆	(目言火火又,GyMeYvWi,xiè,CJK-B)
𥍇	(目艹罒冖歹匕,GyWhYtHs,,CJK-B)
𥍈	(目目艹田⽱,GyGyWhFj,,CJK-B)
𥍉	(目耳耳耳,GyQgQgQg,shè,CJK-B)
𥍊	(艹吅隹目,WhRuVhGy,,CJK-B)
𥍋	(目山隹冂八口,GyDsVhIq,zuī_xiē_huǐ,CJK-B)
𥍌	(目丿龱一火,GyWiCkYv,,CJK-B)
𥍍	(目艹臣皿,GyWhDzBk,,CJK-B)
𥍎	(目田⽱頁,GySlFjWv,,CJK-B)
𥍏	(目言火火火,GyMeYvYv,,CJK-B)
𥍐	(目艹白幺幺木,GyWhDyAj,,CJK-B)
𥍑	(目車丿大口冂口,GyJlCkIq,,CJK-B)
𥍒	(目⺮戊一口心,GyZiUcNg,,CJK-B)
𥍓	(目吅厂工耳攵,GyRuOyRy,kàn_yǎn,CJK-B)
𥍔	(目田田田糸,GySlSlHt,léi,CJK-B)
𥍕	(目光⻗⺌⺝,GySjTfMd,,CJK-B)
𥍖	(目臣罒見,GyDzZiSc,,CJK-B)
𥍗	(目⺊𱕻日口凵亅,GyDhLwKs,,CJK-B)
𥍘	(目飠土土土一儿,GyOzBmAh,,CJK-B)
𥍙	(目一小目一小目一小,GyFhOtOt,,CJK-B)
𥍚	(目言糹糹攵,GyMeHtRy,biàn,CJK-B)
𥍛	(目山吅厂ヿ耳攵,GyDsRuRy,,CJK-B)
𥍜	(目⺿目目隹又,GyWhGyWi,,CJK-B)
𥍝	(予丿一,MaCkFh,shǔ,CJK-B)
𥍞	(予丿刀丶,MaCkKgOe,nǜ,CJK-B)
𥍟	(予丿殳,MaCkQi,xù_yì,CJK-B)
𥍠	(予丿一ㄅ,MaCkVyPv,,CJK-B)
𥍡	(予丿白,MaCkDy,,CJK-B)
𥍢	(予丿𠂉也,MaCkLdHe,,CJK-B)
𥍣	(予丿口一ㄅ,MaCkIqPv,hào,CJK-B)
𥍤	(予丿予丿,MaCkMaCk,,CJK-B)
𥍥	(予丿戊,MaCkUc,,CJK-B)
𥍦	(予丿𠂉巾,MaCkLdUw,,CJK-B)
𥍧	(予丿巛夕,MaCkJvXu,,CJK-B)
𥍨	(予丿⺈厂⺋,MaCkRlWj,guǐ,CJK-B)
𥍩	(予丿冂一口,MaCkZvIq,,CJK-B)
𥍪	(予丿豸,MaCkLz,zhài,CJK-B)
𥍫	(予丿丶艮,MaCkOeTp,láng,CJK-B)
𥍬	(予丿厶儿夂,MaCkNdJt,cuān,CJK-B)
𥍭	(予丿扌斤,MaCkPcOz,zhì,CJK-B)
𥍮	(予丿夂丰,MaCkJtZh,féng_fēng,CJK-B)
𥍯	(予丿冖又,MaCkSiWi,qīn,CJK-B)
𥍰	(予丿艹勹丶,MaCkWhOe,,CJK-B)
𥍱	(予丿⺧口,MaCkLzIq,zé,CJK-B)
𥍲	(予丿木冂入,MaCkAjXj,nà,CJK-B)
𥍳	(予丿木ヿ土,MaCkAjBm,niǔ,CJK-B)
𥍴	(予丿日勹,MaCkJeBl,yì,CJK-B)
𥍵	(予丿亽ヿ心,MaCkTuNg,,CJK-B)
𥍶	(予丿⺈厂矢,MaCkRlEu,,CJK-B)
𥍷	(予丿勹丶心,MaCkSnNg,cōng,CJK-B)
𥍸	(予丿方𠂉也,MaCkMxHe,shī,CJK-B)
𥍹	(予丿聿廴,MaCkUaVv,jiǎn,CJK-B)
𥍺	(予丿㐅凵儿夂,MaCkOsJt,zōng,CJK-B)
𥍻	(予丿匚日女,MaCkEhSm,yǎn,CJK-B)
𥍼	(予丿⺿冂大,MaCkWhXi,yīng,CJK-B)
𥍽	(予丿千里,MaCkHcDn,,CJK-B)
𥍾	(予丿匕白,MaCkHsDy,,CJK-B)
𥍿	(予丿⺁十目,MaCkOyGy,,CJK-B)
𥎀	(予丿頁,MaCkWv,ruǎn,CJK-B)
𥎁	(予丿木⺊口,MaCkAjIq,,CJK-B)
𥎂	(予丿⺿耳,MaCkWhQg,róng,CJK-B)
𥎃	(予丿气米,MaCkFqMg,xì,CJK-B)
𥎄	(予丿人口,MaCkSiIq,,CJK-B)
𥎅	(予丿罒,MaCkYtHg,guān,CJK-B)
𥎆	(予丿宀丰口,MaCkErIq,kài,CJK-B)
𥎇	(予丿冂日亾,MaCkZvXc,,CJK-B)
𥎈	(予丿夂酉,MaCkJtTi,wù,CJK-B)
𥎉	(予丿夂貝,MaCkJtIc,,CJK-B)
𥎊	(予丿廿口龶,MaCkXkZh,qín,CJK-B)
𥎋	(予丿丿心,MaCkCkNg,cōng,CJK-B)
𥎌	(予丿夂丰辶,MaCkJtLt,,CJK-B)
𥎍	(予丿龶貝,MaCkZhIc,zé,CJK-B)
𥎎	(予丿⺈用刀牛,MaCkRlLz,xiè,CJK-B)
𥎏	(予丿人人人人日,MaCkSiJe,,CJK-B)
𥎐	(予丿冂八口屮凵,MaCkZvZv,yù,CJK-B)
𥎑	(予丿旡旡日,MaCkUeJe,zàn,CJK-B)
𥎒	(予丿日月心,MaCkJeNg,chuāng,CJK-B)
𥎓	(予丿曲豆,MaCkRwEi,lǐ,CJK-B)
𥎔	(予丿豕虫,MaCkKtJw,lǐ,CJK-B)
𥎕	(予丿冂八口戊丶,MaCkZvOe,xù,CJK-B)
𥎖	(予丿一,MaCkFhKt,mí,CJK-B)
𥎗	(予丿一ㄅ丨,MaCkWiVy,xù,CJK-B)
𥎘	(予丿而,MaCkTfUa,ruǎn,CJK-B)
𥎙	(予丿田心目,MaCkSlGy,,CJK-B)
𥎚	(予丿廿口人丷土,MaCkXkBm,,CJK-B)
𥎛	(予丿匚虫貝,MaCkEhIc,guì,CJK-B)
𥎜	(予丿冂八口小夫,MaCkZvSv,rǒng,CJK-B)
𥎝	(予丿⺧儿⺧儿贝,MaCkLzDj,,CJK-B)
𥎞	(予丿夫夫貝,MaCkSvIc,,CJK-B)
𥎟	(予丿攵音十,MaCkRyGl,máo,CJK-B)
𥎠	(予丿⺈罒勹虫,MaCkRlJw,,CJK-B)
𥎡	(予丿目目隹,MaCkGyVh,qín,CJK-B)
𥎢	(予丿木冖木木灬,MaCkAjYv,cuàn,CJK-B)
𥎣	(予丿穴鼠,MaCkZiQk,cuàn,CJK-B)
𥎤	(予丿冂一口冖木木大火,MaCkWiYv,cuàn,CJK-B)
𥎥	(予丿亠冂一口冖木木大火,MaCkUeYv,,CJK-B)
𥎦	(厂矢,OyEu,,CJK-B)
𥎧	(矢十,EuGl,,CJK-B)
𥎨	(一丨一矢,FhKsFhEu,,CJK-B)
𥎩	(止矢,LdEu,,CJK-B)
𥎪	(矢攵,EuRy,,CJK-B)
𥎫	(刀刀矢,KgKgEu,,CJK-B)
𥎬	(矢匕,EuHsHs,,CJK-B)
𥎭	(矢日,EuJe,,CJK-B)
𥎮	(矢⺁又,EuOyWi,wū,CJK-B)
𥎯	(矢欠,EuFy,,CJK-B)
𥎰	(矢土厶,EuBmNd,fǎ,CJK-B)
𥎱	(矢𠂇乂丶,EuGlOsOe,bá,CJK-B)
𥎲	(矢乚丨一,EhEuPvFh,,CJK-B)
𥎳	(矢母,EuQt,,CJK-B)
𥎴	(矢田,EuSl,,CJK-B)
𥎵	(矢可,EuZj,,CJK-B)
𥎶	(矢目,EuGy,,CJK-B)
𥎷	(矢白,EuDy,,CJK-B)
𥎸	(矢亠幺,EuUeBl,qià,CJK-B)
𥎹	(矢至,EuCy,zhì,CJK-B)
𥎺	(矢儿冫,EuAhLvLv,tiào,CJK-B)
𥎻	(舟矢,LkEu,,CJK-B)
𥎼	(止厂矢,LdOyEu,,CJK-B)
𥎽	(矢山大,EuDsXi,,CJK-B)
𥎾	(矢⺈厂⺋,EuRlOyWj,,CJK-B)
𥎿	(矢口一𬺰,EuIqFhGl,,CJK-B)
𥏀	(人人人矢,SiSiSiEu,,CJK-B)
𥏁	(矢止一ㄅ,EuLdFhPv,,CJK-B)
𥏂	(人人厂矢,SiSiOyEu,,CJK-B)
𥏃	(矢口二ㄅ,EuIqRlPv,,CJK-B)
𥏄	(矢一白,EuFhDy,zhì,CJK-B)
𥏅	(矢日十,EuJeGl,zhí,CJK-B)
𥏆	(矢自,EuCj,,CJK-B)
𥏇	(丷夫矢,VySvEu,huàn,CJK-B)
𥏈	(几一幺矢,PsFhBlEu,chóu,CJK-B)
𥏉	(亠匕矢,UeHsHsEu,,CJK-B)
𥏊	(矢羽,EuEh,zhì,CJK-B)
𥏋	(⺧儿矢,LzAhEu,,CJK-B)
𥏌	(矢⺧儿,EuLzAh,,CJK-B)
𥏍	(矢夕口,EuXuIq,,CJK-B)
𥏎	(矢丿士廴,EuCkMfVv,yǐng,CJK-B)
𥏏	(匚矢口又,EhEuIqWi,,CJK-B)
𥏐	(矢禾几,EuZpPs,,CJK-B)
𥏑	(矢厶㇏,HsEuNdOe,,CJK-B)
𥏒	(矢五口,EuJiIq,wù,CJK-B)
𥏓	(矢日廾,EuJeWh,bēi,CJK-B)
𥏔	(矢辛,EuJt,,CJK-B)
𥏕	(矢宀𠂇厶,EuErGlNd,hóng,CJK-B)
𥏖	(矢厶矢,EuNdEu,shěn,CJK-B)
𥏗	(矢禾乃,EuZpVi,,CJK-B)
𥏘	(矢尸屮凵,EuMzIaZv,jué,CJK-B)
𥏙	(矢丷夫⺋,EuVySvWj,kuì,CJK-B)
𥏚	(矢巾,HsEuSiUw,,CJK-B)
𥏛	(戈矢,YqIeEu,,CJK-B)
𥏜	(矢大可,EuXiZj,yǐ,CJK-B)
𥏝	(矢一,EuFhWu,yà,CJK-B)
𥏞	(矢又又又又,EuWiWiWi,,CJK-B)
𥏟	(矢㡀,EuKt,,CJK-B)
𥏠	(矢白丿十,EuDyCkGl,bī,CJK-B)
𥏡	(矢立女,EuYqSm,,CJK-B)
𥏢	(矢大丷干,EuXiVyLr,,CJK-B)
𥏣	(矢大,EuXiId,,CJK-B)
𥏤	(矢大丷二ㄅ,EuXiVyPv,kuà,CJK-B)
𥏥	(矢⺊日十,EuDhJeGl,qiān,CJK-B)
𥏦	(矢目二ㄅ,EuGyRlPv,,CJK-B)
𥏧	(矢口人土,EuIqSiBm,,CJK-B)
𥏨	(矢⺆土口,EuZvBmIq,zhāo,CJK-B)
𥏩	(矢弓瓜,EuOdQj,,CJK-B)
𥏪	(矢匕白,EuHsHsDy,kǎi,CJK-B)
𥏫	(矢日一勹,EuJeFhBl,shāng,CJK-B)
𥏬	(日一勹矢,JeFhSnEu,,CJK-B)
𥏭	(矢廿㇗木,EuXkPvAj,,CJK-B)
𥏮	(矢音,EuAr,àn,CJK-B)
𥏯	(矢口日十,EuIqJeGl,zhé,CJK-B)
𥏰	(丿土矢匕,SiCkBmHs,zhì,CJK-B)
𥏱	(矢千里,EuHcDn,,CJK-B)
𥏲	(矢人口,EuSiFkIq,,CJK-B)
𥏳	(木人人厶矢,AjSiSiEu,,CJK-B)
𥏴	(矢口廿二ㄅ,EuIqXkPv,,CJK-B)
𥏵	(矢卯田,EuFmSl,,CJK-B)
𥏶	(矢禾女,HsEuZpSm,,CJK-B)
𥏷	(土白矢,BmDyHsEu,zhì,CJK-B)
𥏸	(矢山豆,EuDsEi,,CJK-B)
𥏹	(矢高,EuWn,jiǎo,CJK-B)
𥏺	(矢⺶工,EuIdNv,,CJK-B)
𥏻	(矢𠂉日一勹,EuLdJeBl,,CJK-B)
𥏼	(矢口白二ㄅ,EuIqDyPv,,CJK-B)
𥏽	(矢虍丿丷𬺰,EuQbCkGl,,CJK-B)
𥏾	(矢口一二ㄅ,EuIqOzPv,,CJK-B)
𥏿	(矢門口,EuAcIq,,CJK-B)
𥐀	(矢斤,EuMzVyOz,sī,CJK-B)
𥐁	(矢业⺶㇏,EuOqIdOe,pú,CJK-B)
𥐂	(⺊一矢田⽱,DhFhEuFj,ǒu,CJK-B)
𥐃	(矢止二二ㄅ,EuLdMzPv,,CJK-B)
𥐄	(䒑业日矢,VyOqJeEu,,CJK-B)
𥐅	(矢䒑业日,EuVyOqJe,,CJK-B)
𥐆	(矢豆丷,EuEiVyPc,,CJK-B)
𥐇	(矢豆艮,EuEiTp,,CJK-B)
𥐈	(矢米女攵,EuMgSmRy,,CJK-B)
𥐉	(艮矢豆,TpEuEi,,CJK-B)
𥐊	(矢白方攵,EuDyMxRy,zhuó,CJK-B)
𥐋	(矢豆艹乂,EuEiWhOs,,CJK-B)
𥐌	(矢亠{齊字腰}二,EuUeIuRl,,CJK-B)
𥐍	(矢豆豆,EuEiEi,,CJK-B)
𥐎	(矢⻗而,EuTfUa,,CJK-B)
𥐏	(矢豆尸𠃌口,EuEiMzIq,,CJK-B)
𥐐	(矢豆衣八口,EuEiOrIq,,CJK-B)
𥐑	(矢貝貝女,EuIcIcSm,yīng,CJK-B)
𥐒	(矢豆骨,EuEiFv,,CJK-B)
𥐓	(矢艹吅隹,EuWhRuVh,huān,CJK-B)
𥐔	(矢豆門口,EuEiAcIq,,CJK-B)
𥐕	(石乚,QqPv,yà,CJK-B)
𥐖	(厂一口,OyFhIq,,CJK-B)
𥐗	(石⺋,QqWj,,CJK-B)
𥐘	(厂二口,OyRlIq,shí,CJK-B)
𥐙	(石,QqVy,pā_bā,CJK-B)
𥐚	(石卜,QqDh,pǔ,CJK-B)
𥐛	(石刀,QqKg,,CJK-B)
𥐜	(石九,QqDp,,CJK-B)
𥐝	(石勹丶,QqSnOe,,CJK-B)
𥐞	(石亡,QqXc,máng,CJK-B)
𥐟	(石丶乂,QqOeOs,chāi,CJK-B)
𥐠	(石丸,QqTk,,CJK-B)
𥐡	(石亍,QqJb,,CJK-B)
𥐢	(石山,QqDs,,CJK-B)
𥐣	(石川,QqJv,,CJK-B)
𥐤	(石人ㄅ,QqSiPv,,CJK-B)
𥐥	(石丿几,QqCkPs,,CJK-B)
𥐦	(石己,QqJc,,CJK-B)
𥐧	(石廾,QqWh,,CJK-B)
𥐨	(石也,QqHe,,CJK-B)
𥐩	(石勹二,QqSnRl,yún,CJK-B)
𥐪	(石𠂇厶,QqGlNd,,CJK-B)
𥐫	(石卝,QqWh,,CJK-B)
𥐬	(石气,QqFq,gǔ,CJK-B)
𥐭	(石𠂉十,QqLdGl,,CJK-B)
𥐮	(石尸丶,QqMzOe,,CJK-B)
𥐯	(石云,QqPd,,CJK-B)
𥐰	(石匚㐅,QqEhOs,,CJK-B)
𥐱	(石冖几,QqErPs,,CJK-B)
𥐲	(石丿几丶,QqCkPsOe,,CJK-B)
𥐳	(石五,QqJi,,CJK-B)
𥐴	(石不,QqCi,,CJK-B)
𥐵	(石匚儿,QqEhAh,,CJK-B)
𥐶	(石尤,QqGh,,CJK-B)
𥐷	(石勹乂,QqSnOs,,CJK-B)
𥐸	(石厶儿,QqNdAh,,CJK-B)
𥐹	(石井,QqBz,dǎn,CJK-B)
𥐺	(石一幺,QqFhBl,,CJK-B)
𥐻	(石冂㐅,QqZvOs,náo,CJK-B)
𥐼	(石冂又,QqZvWi,,CJK-B)
𥐽	(石毛,QqOu,zhé,CJK-B)
𥐾	(石勹厶,QqSnNd,,CJK-B)
𥐿	(石斗,QqPf,hú,CJK-B)
𥑀	(石冖儿,QqErAh,,CJK-B)
𥑁	(石巴,QqEw,,CJK-B)
𥑂	(石支,QqBh,,CJK-B)
𥑃	(石亠卜,QqUeDh,,CJK-B)
𥑄	(石士乙,QqMfJg,,CJK-B)
𥑅	(石𠂉九,QqLdDp,kēng,CJK-B)
𥑆	(石力口,QqAuIq,,CJK-B)
𥑇	(石丿夫,QqCkSv,dié,CJK-B)
𥑈	(石广丁,QqGpUe,tīng,CJK-B)
𥑉	(石⺁⺋,QqOyWj,,CJK-B)
𥑊	(石尸又,QqMzWi,,CJK-B)
𥑋	(石又土,QqWiBm,guài,CJK-B)
𥑌	(石女又,QqSmWi,,CJK-B)
𥑍	(石丷,QqVyPc,,CJK-B)
𥑎	(石冂口,QqZvIq,qiōng,CJK-B)
𥑏	(石口,QqIqOs,shǐ,CJK-B)
𥑐	(石甲,QqSt,jiǎ,CJK-B)
𥑑	(石幺力,QqBlAu,ào,CJK-B)
𥑒	(石人小,QqSiOt,nǎ_kēng,CJK-B)
𥑓	(石屮儿,QqIaAh,pǐn,CJK-B)
𥑔	(石瓜,QqQj,jiá,CJK-B)
𥑕	(石𠂇又丶,QqGlWiOe,,CJK-B)
𥑖	(石心丿,QqNgCk,,CJK-B)
𥑗	(石一彑丶,QqFhSiOe,,CJK-B)
𥑘	(石未,QqJx,,CJK-B)
𥑙	(工力石,NvAuQq,,CJK-B)
𥑚	(石丿冂人,QqCkZvSi,,CJK-B)
𥑛	(石𠂇口,QqGlIq,,CJK-B)
𥑜	(石不一,QqCiFh,,CJK-B)
𥑝	(石乛水,QqPvHg,,CJK-B)
𥑞	(石冂大,QqZvXi,,CJK-B)
𥑟	(士冖石,MfErQq,,CJK-B)
𥑠	(石甘,QqMz,,CJK-B)
𥑡	(石木丶,QqAjOe,zhè,CJK-B)
𥑢	(石𠂇巾,QqGlUw,bù,CJK-B)
𥑣	(石厂,QqOyWj,wǒ,CJK-B)
𥑤	(石由,QqIs,,CJK-B)
𥑥	(石生,QqDh,chǎ,CJK-B)
𥑦	(生石,DhQq,,CJK-B)
𥑧	(亻寸石,KjLwQq,,CJK-B)
𥑨	(石丿冂㐅,QqCkZvOs,,CJK-B)
𥑩	(石丿冂又,QqCkZvWi,,CJK-B)
𥑪	(石勹乂㇗,QqSnOsPv,náo,CJK-B)
𥑫	(石穴,QqZi,kān_kǎn,CJK-B)
𥑬	(石册,QqJz,,CJK-B)
𥑭	(石匚コ,QqEhEh,,CJK-B)
𥑮	(石古,QqQm,,CJK-B)
𥑯	(石冖冂乚,QqErZvPv,dú,CJK-B)
𥑰	(石𠂇工,QqGlNv,guài,CJK-B)
𥑱	(工刀石,NvKgQq,qióng,CJK-B)
𥑲	(石日一,QqJeFh,,CJK-B)
𥑳	(石戈𠂇,QqIeGl,róng,CJK-B)
𥑴	(石衣,QqOr,yǐ,CJK-B)
𥑵	(石丿㠯,QqCkUs,duī,CJK-B)
𥑶	(石耒,QqFu,lěi,CJK-B)
𥑷	(石日人,QqJeSi,,CJK-B)
𥑸	(石舟,QqLk,zhōu,CJK-B)
𥑹	(石大二ㄅ,QqXiRlPv,kuā,CJK-B)
𥑺	(石䒑,QqVyIa,ē,CJK-B)
𥑻	(石⺧儿,QqLzAh,xiān,CJK-B)
𥑼	(亻戈石,KjIeQq,diàn,CJK-B)
𥑽	(石⺁巴,QqOyEw,nuò,CJK-B)
𥑾	(石十廾,QqGlWh,è,CJK-B)
𥑿	(石𠂇⺝,QqGlMd,yōng,CJK-B)
𥒀	(石氵一𬺰,QqHgFhGl,wù,CJK-B)
𥒁	(石川,QqJvJv,kēng,CJK-B)
𥒂	(石歹刂,QqQmKg,,CJK-B)
𥒃	(石士也,QqMfHe,,CJK-B)
𥒄	(石米,QqMg,,CJK-B)
𥒅	(石一口,QqFhIqOs,,CJK-B)
𥒆	(石䒑大,QqVyXi,,CJK-B)
𥒇	(石宀女,QqErSm,,CJK-B)
𥒈	(石宀丿七,QqErCkLn,,CJK-B)
𥒉	(石羽,QqEh,,CJK-B)
𥒊	(石夕口,QqXuIq,,CJK-B)
𥒋	(石缶,QqUs,,CJK-B)
𥒌	(石丿皿,QqCkBk,,CJK-B)
𥒍	(石⺈巴,QqRlEw,,CJK-B)
𥒎	(石二戈,QqRlIe,,CJK-B)
𥒏	(石日人,QqJeSi,,CJK-B)
𥒐	(土土石,BmBmQq,,CJK-B)
𥒑	(石一生,QqFhDh,,CJK-B)
𥒒	(石𠂇丨土,QqGlKsBm,,CJK-B)
𥒓	(石至,QqCy,zhì,CJK-B)
𥒔	(石止廴,QqLdVv,,CJK-B)
𥒕	(石自,QqCj,,CJK-B)
𥒖	(石⺁一口,QqOyFhIq,,CJK-B)
𥒗	(石爫厶,QqToNd,zhǐ,CJK-B)
𥒘	(石勹日,QqSnJe,xún,CJK-B)
𥒙	(石犭勹丶,QqLeSnOe,,CJK-B)
𥒚	(石勹㐅凵,QqSnOsZv,,CJK-B)
𥒛	(石刀{云变},QqKgPd,zhèng,CJK-B)
𥒜	(石冫水,QqLvHg,,CJK-B)
𥒝	(石儿,QqPdAh,,CJK-B)
𥒞	(石羊,QqId,yáng,CJK-B)
𥒟	(氵巳石,HgDuQq,,CJK-B)
𥒠	(石,UaQq,huò,CJK-B)
𥒡	(石乛水一,QqPvHgFh,jí,CJK-B)
𥒢	(石刀刀刀,QqKgKgKg,nǎo_lì,CJK-B)
𥒣	(石又𠂇厶,QqWiGlNd,,CJK-B)
𥒤	(石巛山,QqJvDs,,CJK-B)
𥒥	(石夕夕,QqXuXu,,CJK-B)
𥒦	(石土也,QqBmHe,,CJK-B)
𥒧	(石又龰,QqWiLd,yà,CJK-B)
𥒨	(石人⺗,QqSiNg,lù,CJK-B)
𥒩	(石丬丨,QqNbKsLv,,CJK-B)
𥒪	(石宀牛,QqErLz,,CJK-B)
𥒫	(石爫子,QqToYd,fū,CJK-B)
𥒬	(石宀木,QqErAj,sǎn,CJK-B)
𥒭	(石足,QqUz,chù,CJK-B)
𥒮	(石尸毛,QqMzOu,wěi,CJK-B)
𥒯	(木石土,AjQqBm,,CJK-B)
𥒰	(石甫,QqGn,fǔ,CJK-B)
𥒱	(石一廾彡,QqFhWhBl,kēng,CJK-B)
𥒲	(石厶矢,QqNdEu,sì,CJK-B)
𥒳	(宀石亠几,ErQqUePs,kàng,CJK-B)
𥒴	(石⺿亾,QqWhXc,,CJK-B)
𥒵	(石口巴,QqIqEw,yì,CJK-B)
𥒶	(石丿糸,QqCkHt,huà,CJK-B)
𥒷	(石阝,QqZhTj,,CJK-B)
𥒸	(石一氺丶,QqFhHgOe,,CJK-B)
𥒹	(石广土丶,QqGpBmOe,,CJK-B)
𥒺	(石士心,QqMfNg,,CJK-B)
𥒻	(石口刀刂,QqIqKgKg,,CJK-B)
𥒼	(石止,QqLdLd,,CJK-B)
𥒽	(工㇈石,NvPvPcQq,,CJK-B)
𥒾	(石五口,QqJiIq,yǔ,CJK-B)
𥒿	(石止一,QqLdFhKg,,CJK-B)
𥓀	(石目匕,QqGyHs,,CJK-B)
𥓁	(石丿,QqCkLw,,CJK-B)
𥓂	(石亽ヿ口,QqTuPvIq,,CJK-B)
𥓃	(石夂木,QqJtAj,lì,CJK-B)
𥓄	(石里,QqDn,,CJK-B)
𥓅	(石口丿口,QqIqCkIq,,CJK-B)
𥓆	(石又石,QqWiQq,lǐn,CJK-B)
𥓇	(夕止石,XuLdQq,dǔ,CJK-B)
𥓈	(石十艹十,QqGlWhGl,è,CJK-B)
𥓉	(石戊𠃌,QqUcPv,,CJK-B)
𥓊	(木斤石,AjOzQq,,CJK-B)
𥓋	(石臼儿,QqWiAh,,CJK-B)
𥓌	(石⺷儿,QqIdAh,qiǎng,CJK-B)
𥓍	(⺊一小又石,DhFhOtQq,dú,CJK-B)
𥓎	(石戶犬,QqFkLe,,CJK-B)
𥓏	(石氺,QqSiHg,,CJK-B)
𥓐	(石一龰,QqFhSiLd,jié,CJK-B)
𥓑	(石㐅木刂,QqOsAjKg,chuò,CJK-B)
𥓒	(石⺈臼,QqRlWi,xiàn_kàn,CJK-B)
𥓓	(石田丿十,QqSlCkGl,,CJK-B)
𥓔	(石禾女,QqZpSm,,CJK-B)
𥓕	(石爫丿士,QqToCkMf,,CJK-B)
𥓖	(石日木,QqJeAj,gǎo,CJK-B)
𥓗	(石厶厶厶二,QqNdNdRl,,CJK-B)
𥓘	(石日勹,QqJeSnBl,,CJK-B)
𥓙	(木木石,AjAjQq,,CJK-B)
𥓚	(石虎,QqQb,,CJK-B)
𥓛	(石一戈幺,QqFhIeBl,,CJK-B)
𥓜	(石木人人,QqAjSiSi,,CJK-B)
𥓝	(石木日,QqAjJe,,CJK-B)
𥓞	(石乛氺凵,QqPvHgZv,,CJK-B)
𥓟	(石匚口巾,QqEhIqUw,,CJK-B)
𥓠	(石一口冂人,QqFhIqSi,,CJK-B)
𥓡	(石尚,QqXy,,CJK-B)
𥓢	(石止龰,QqLdLd,,CJK-B)
𥓣	(石日冖儿,QqJeErAh,,CJK-B)
𥓤	(石山勹巳,QqDsSnDu,,CJK-B)
𥓥	(石日曰,QqJeRl,,CJK-B)
𥓦	(石臼丨𠃌,QqWiKsPv,,CJK-B)
𥓧	(牜牛石,LzLzQq,,CJK-B)
𥓨	(石一廾手,QqFhWhPc,,CJK-B)
𥓩	(石土石,QqBmQq,,CJK-B)
𥓪	(石土八土,QqBmVyBm,,CJK-B)
𥓫	(石至刂,QqCyKg,,CJK-B)
𥓬	(至刂石,CyKgQq,dào,CJK-B)
𥓭	(石丿㠯十,QqCkUsGl,,CJK-B)
𥓮	(石勹缶,QqSnUs,,CJK-B)
𥓯	(石亠勹方,QqUeSnMx,,CJK-B)
𥓰	(石穴弓,QqZiOd,hōng,CJK-B)
𥓱	(石巛一止,QqJvFhLd,,CJK-B)
𥓲	(石巛田,QqJvSl,,CJK-B)
𥓳	(石彳皮,QqJbEm,,CJK-B)
𥓴	(石方攵,QqMxRy,,CJK-B)
𥓵	(石广氏丶,QqGpQuOe,,CJK-B)
𥓶	(石夂田,QqJtSl,,CJK-B)
𥓷	(石广人,QqGpSiSi,,CJK-B)
𥓸	(石衤彡,QqOrBl,,CJK-B)
𥓹	(石廾丿夫,QqWhCkSv,,CJK-B)
𥓺	(予丿攵石,MaCkRyQq,,CJK-B)
𥓻	(石㐅凵儿夂,QqOsZvJt,zōng,CJK-B)
𥓼	(石匚コ木,QqEhEhAj,,CJK-B)
𥓽	(石止匕木,QqLdHsAj,,CJK-B)
𥓾	(石千臼,QqHcWi,qì,CJK-B)
𥓿	(石𠂇工⺼,QqGlNvMd,tuó,CJK-B)
𥔀	(石勹言,QqSnMe,hōng,CJK-B)
𥔁	(石一口田,QqFhIqSl,pǐ,CJK-B)
𥔂	(石忄一月一,QqNgFhFh,gèng,CJK-B)
𥔃	(石戊一女,QqUcFhSm,,CJK-B)
𥔄	(石臼工,QqWiNv,niè,CJK-B)
𥔅	(石田人,QqSlSiKg,,CJK-B)
𥔆	(石囗人人人,QqUdSiSi,,CJK-B)
𥔇	(石大夕口,QqXiXuIq,kōng,CJK-B)
𥔈	(石厂辛,QqOyJt,,CJK-B)
𥔉	(石穴人又,QqZiSiWi,,CJK-B)
𥔊	(石己至,QqJcCy,zhǐ,CJK-B)
𥔋	(石日皿,QqJeBk,,CJK-B)
𥔌	(石匚日女,QqEhJeSm,,CJK-B)
𥔍	(石禾火,QqZpYv,,CJK-B)
𥔎	(石可,QqYqZj,,CJK-B)
