⺀	[丶丶,bīng_èr,部首補充]
𦡂	[月艹千里,dǒng,CJK-B]
𦡃	[月吅里,nuó_nié,CJK-B]
𦡄	[月耂日阝,dù,CJK-B]
𦡅	[月一廾刂酉,zhēng,CJK-B]
𦡆	[月穴尸屮凵,kū,CJK-B]
𦡇	[冂人人罒土,,CJK-B]
𦡈	[亠乡隹冂人人,,CJK-B]
𦡉	[日月皿月,míng,CJK-B]
𦡊	[月曲豆,,CJK-B]
𦡋	[月一頁,,CJK-B]
𦡌	[一ㄅ丨冖⺼,,CJK-B]
𦡍	[尸口⺼辛,,CJK-B]
𦡎	[⺼⺌金,,CJK-B]
𦡏	[⺼日乚,,CJK-B]
𦡐	[⺼⺿聿廴,,CJK-B]
𦡑	[⺼虍田几,,CJK-B]
𦡒	[{微框}几⺼,,CJK-B]
𦡓	[⺼巛罒用,,CJK-B]
𦡔	[⺼鼠,,CJK-B]
𦡕	[月⻗勹巳,báo,CJK-B]
𦡖	[止戊一月,huì,CJK-B]
𦡗	[月禾火心,,CJK-B]
𦡘	[月千人人人人,,CJK-B]
𦡙	[月凵八夂,zōng,CJK-B]
𦡚	[亠乡隹⺝,,CJK-B]
𦡛	[冂人人十⺿貝,,CJK-B]
𦡜	[辟冂人人,,CJK-B]
𦡝	[冂人人爫冖心夂,,CJK-B]
𦡞	[月木木示,,CJK-B]
𦡟	[匕⺝土八夂,,CJK-B]
𦡠	[王廾冫人⺝,,CJK-B]
𦡡	[月石日一寸,,CJK-B]
𦡢	[月艹米女,,CJK-B]
𦡣	[月亠囗口禾,,CJK-B]
𦡤	[月氵隹十,,CJK-B]
𦡥	[月氵弓冫弓冫,,CJK-B]
𦡦	[月艹千里,,CJK-B]
𦡧	[月业䒑未,,CJK-B]
𦡨	[木木⺼皮,sàn,CJK-B]
𦡩	[月木人氺卩,,CJK-B]
𦡪	[月豆,tēng,CJK-B]
𦡫	[月⺷丿扌,yí,CJK-B]
𦡬	[月人亠㐅凵禸,,CJK-B]
𦡭	[一ㄅ丨冖冂人人,yù,CJK-B]
𦡮	[月䒑业日,,CJK-B]
𦡯	[月土羊辶,,CJK-B]
𦡰	[月艹甫寸,,CJK-B]
𦡱	[月羽隹,yào_shào,CJK-B]
𦡲	[月宀心皿丁,nǐng,CJK-B]
𦡳	[月巛,,CJK-B]
𦡴	[月士乛工一口寸,chóu_zhǒu,CJK-B]
𦡵	[月囗豕心,hùn,CJK-B]
𦡶	[月臣皿,,CJK-B]
𦡷	[月业⺷寸,duì,CJK-B]
𦡸	[月匕矢龴疋,,CJK-B]
𦡹	[月日幺幺灬,qì,CJK-B]
𦡺	[貝貝⺼,yǐng,CJK-B]
𦡻	[月冫馬几,bìng,CJK-B]
𦡼	[匕矢龴疋冂人人,níng,CJK-B]
𦡽	[月九黄,huáng,CJK-B]
𦡾	[㇗田⺼,,CJK-B]
𦡿	[月井八皿,,CJK-B]
𦢀	[⺼士口冖至,,CJK-B]
𦢁	[⺼⺿人口,,CJK-B]
𦢂	[⺼业⺷大,,CJK-B]
𦢃	[⺼⺿土言,,CJK-B]
𦢄	[月非衣,,CJK-B]
𦢅	[月火又虫,,CJK-B]
𦢆	[貝貝冂人人,yǐng,CJK-B]
𦢇	[匕矢龴疋⺝,,CJK-B]
𦢈	[月一,,CJK-B]
𦢉	[月宀心丿虫,,CJK-B]
𦢊	[月日龷八氺,báo_bó,CJK-B]
𦢋	[月⺷灬一夫,,CJK-B]
𦢌	[月士罒貝,,CJK-B]
𦢍	[月幺幺戈田,,CJK-B]
𦢎	[月广黄,guàng,CJK-B]
𦢏	[月田田田,lěi,CJK-B]
𦢐	[月艹目大厶,zǔn,CJK-B]
𦢑	[月戊⺊一小辶,,CJK-B]
𦢒	[月十人人冖貝,,CJK-B]
𦢓	[月黑土,,CJK-B]
𦢔	[⺼丰丰心,,CJK-B]
𦢕	[⺼亻人人人人一⺝,,CJK-B]
𦢖	[爿厂亻隹⺼,,CJK-B]
𦢗	[⺼士口羊几丶,,CJK-B]
𦢘	[⺼⺿丷夫氺,,CJK-B]
𦢙	[月十戈非一,chǎn_qiān_xiān,CJK-B]
𦢚	[月虍田⺝,,CJK-B]
𦢛	[月虍田心,,CJK-B]
𦢜	[月山黑,,CJK-B]
𦢝	[月疒臼丨又,,CJK-B]
𦢞	[月魚日,,CJK-B]
𦢟	[月扌业⺶㇏,,CJK-B]
𦢠	[月齒,,CJK-B]
𦢡	[尸至人人人⺝,,CJK-B]
𦢢	[人人人⺝尸至,,CJK-B]
𦢣	[月爫巾乂乂乂乂,jiǎn,CJK-B]
𦢤	[⺼夫夫貝,,CJK-B]
𦢥	[月山隹,,CJK-B]
𦢦	[月魚禾,,CJK-B]
𦢧	[⺼卝罒冖目,méng,CJK-B]
𦢨	[月門⺈臼,,CJK-B]
𦢩	[月⺿肀片爿一,xiào_sōu,CJK-B]
𦢪	[月阝𠂇工⺝辶,,CJK-B]
𦢫	[⺼立⺝{龍字边},,CJK-B]
𦢬	[⺼⺿心心心,,CJK-B]
𦢭	[月十口冖勹巳木,,CJK-B]
𦢮	[月吅鬼,,CJK-B]
𦢯	[月冂一口,xìn_xìng,CJK-B]
𦢰	[冂一口冂人人,,CJK-B]
𦢱	[丿口月羊几丶,lí,CJK-B]
𦢲	[月艹𠂉卌一灬,,CJK-B]
𦢳	[户⺝爫丿ヿヿヿ灬,,CJK-B]
𦢴	[月丷口儿穴犬,,CJK-B]
𦢵	[月广亠囗口禾,,CJK-B]
𦢶	[月禾儿頁,,CJK-B]
𦢷	[月吅馬,,CJK-B]
𦢸	[月⺿氵甫寸,,CJK-B]
𦢹	[月⺷灬王大,,CJK-B]
𦢺	[月罒隹灬,qiǎo,CJK-B]
𦢻	[人人广亻隹冂人人,,CJK-B]
𦢼	[亡口月貝,,CJK-B]
𦢽	[宀丰口谷冂人人,,CJK-B]
𦢾	[月山匕矢龴疋,,CJK-B]
𦢿	[月山隹冂八口,wěi_juǎn,CJK-B]
𦣀	[月耳耳耳,nà_niè_zhé,CJK-B]
𦣁	[月丿龱一火,,CJK-B]
𦣂	[月山丰丰豆,pāng,CJK-B]
𦣃	[月日屮凵大米,,CJK-B]
𦣄	[{赢框}革,léi,CJK-B]
𦣅	[⺼爫罒寸,,CJK-B]
𦣆	[⺼麻,,CJK-B]
𦣇	[月罒糹隹,luó,CJK-B]
𦣈	[月⺮氵甫寸,,CJK-B]
𦣉	[{赢框}丨又,,CJK-B]
𦣊	[廿口夫隹⺼,,CJK-B]
𦣋	[月言糹糹,luán,CJK-B]
𦣌	[⺼大廿廿木木,,CJK-B]
𦣍	[月⺷灬⺷大,gēng,CJK-B]
𦣎	[月廿口夫隹,,CJK-B]
𦣏	[言糹糹⺼,luán,CJK-B]
𦣐	[言糹糹,,CJK-B]
𦣑	[月艹魚禾,,CJK-B]
𦣒	[月目目隹又,qú,CJK-B]
𦣓	[未丷勹豆月月,,CJK-B]
𦣔	[罒月田木几丶,,CJK-B]
𦣕	[月覀示風,,CJK-B]
𦣖	[{赢框}日日日,luó,CJK-B]
𦣗	[月飠土土土一儿,,CJK-B]
𦣘	[月十口冖吅井一𧘇,náng,CJK-B]
𦣙	[月日宀吅井一𧘇,,CJK-B]
𦣚	[廿口人丷土隹冂人人,,CJK-B]
𦣛	[月言糹糹心,luó,CJK-B]
𦣜	[月目目爿疒矢,yuè,CJK-B]
𦣝	[,yí*,CJK-B]
𦣞	[,yí*,CJK-B]
𦣟	[山臣,,CJK-B]
𦣠	[臣丿土,,CJK-B]
𦣡	[臣八刀,,CJK-B]
𦣢	[臣一巾,shuì,CJK-B]
𦣣	[臣戈,,CJK-B]
𦣤	[㠯,,CJK-B]
𦣥	[臣心丿,mì,CJK-B]
𦣦	[臣臣,wáng,CJK-B]
𦣧	[臣,cè,CJK-B]
𦣨	[臣亻丿士,jiān,CJK-B]
𦣩	[臣臣,wǎng,CJK-B]
𦣪	[臣𠂉口皿,,CJK-B]
𦣫	[臣,,CJK-B]
𦣬	[臣𠂉口女,,CJK-B]
𦣭	[冖巾臣,,CJK-B]
𦣮	[子瓜臣,,CJK-B]
𦣯	[臣二コ又,jiā,CJK-B]
𦣰	[十冂臣卜,,CJK-B]
𦣱	[臣龶貝,,CJK-B]
𦣲	[臣示白儿,,CJK-B]
𦣳	[臣隹灬,,CJK-B]
𦣴	[臣又罒一口𧘇,huán,CJK-B]
𦣵	[臣𠂉卌日夂,,CJK-B]
𦣶	[臣古心且八,,CJK-B]
𦣷	[臣𠂉人人人古古古,,CJK-B]
𦣸	[匕匕兔臣皿,liàn,CJK-B]
𦣹	[人二凵,zì,CJK-B]
𦣺	[自丨,bái,CJK-B]
𦣻	[一自,shǒu_bǎi,CJK-B]
𦣼	[大二凵,,CJK-B]
𦣽	[一自㇗,,CJK-B]
𦣾	[自一儿,wǎn,CJK-B]
𦣿	[自人丨,,CJK-B]
𦤀	[自大,,CJK-B]
𦤁	[自𠂇又,,CJK-B]
𦤂	[自殳,shū,CJK-B]
𦤃	[自王,,CJK-B]
𦤄	[卝自,,CJK-B]
𦤅	[⺿自,,CJK-B]
𦤆	[自云,,CJK-B]
𦤇	[自⺁又,guī,CJK-B]
𦤈	[自人人,xī,CJK-B]
𦤉	[自八厶,,CJK-B]
𦤊	[自ヿ土,rú,CJK-B]
𦤋	[自,yào,CJK-B]
𦤌	[自,,CJK-B]
𦤍	[自干凵,,CJK-B]
𦤎	[自木一,gāo,CJK-B]
𦤏	[自田,,CJK-B]
𦤐	[自,,CJK-B]
𦤑	[自大干,,CJK-B]
𦤒	[自大彡,,CJK-B]
𦤓	[自田丿十,,CJK-B]
𦤔	[自宀方,,CJK-B]
𦤕	[自犬人,yuè,CJK-B]
𦤖	[自亠人人十,,CJK-B]
𦤗	[自大示,,CJK-B]
𦤘	[日自,yōng,CJK-B]
𦤙	[⻊日一金欠屮凵,wà,CJK-B]
𦤚	[自犬𠂇乂丶,bó,CJK-B]
𦤛	[自一丰,,CJK-B]
𦤜	[自亻丨夂彡,,CJK-B]
𦤝	[自穴冂冂,,CJK-B]
𦤞	[⺈厂⺋自木,,CJK-B]
𦤟	[丿龱自犬,xìn,CJK-B]
𦤠	[自犬𠂇火,,CJK-B]
𦤡	[自犬口巴,,CJK-B]
𦤢	[氵自侖,pì,CJK-B]
𦤣	[十冖子自犬,bó,CJK-B]
𦤤	[自宀隹,,CJK-B]
𦤥	[自⺶羽,,CJK-B]
𦤦	[自犬日勹亾,hài_hè_ài,CJK-B]
𦤧	[自犬木示,zhài,CJK-B]
𦤨	[自犬日皿,wò,CJK-B]
𦤩	[自广䒑,,CJK-B]
𦤪	[日勹亾自犬,yè,CJK-B]
𦤫	[自自田丌,bì_bí,CJK-B]
𦤬	[自犬宀丰口,hài,CJK-B]
𦤭	[自犬歹刂灬,,CJK-B]
𦤮	[艮辶自犬,,CJK-B]
𦤯	[自犬㇗力,,CJK-B]
𦤰	[自犬亽ヿ貝,,CJK-B]
𦤱	[自犬臣又糸,,CJK-B]
𦤲	[金口巴自,,CJK-B]
𦤳	[{云变}龶,,CJK-B]
𦤴	[㐅一凵土,,CJK-B]
𦤵	[又至,,CJK-B]
𦤶	[至夂,,CJK-B]
𦤷	[至㇏,,CJK-B]
𦤸	[川至,chì,CJK-B]
𦤹	[至不,,CJK-B]
𦤺	[至攴,,CJK-B]
𦤻	[瓜至,zhì,CJK-B]
𦤼	[士冖至,,CJK-B]
𦤽	[至尸匕,ní,CJK-B]
𦤾	[至日一,,CJK-B]
𦤿	[丰冖至,,CJK-B]
𦥀	[至厶𠂇又,,CJK-B]
𦥁	[罒十至,wú,CJK-B]
𦥂	[土士冖至,ǎi,CJK-B]
𦥃	[至𠕁,,CJK-B]
𦥄	[至,,CJK-B]
𦥅	[至厶口木,,CJK-B]
𦥆	[丰癶至,,CJK-B]
𦥇	[至㇏一大,,CJK-B]
𦥈	[羊一冖至,ǎi,CJK-B]
𦥉	[宀至五口,yǔ,CJK-B]
𦥊	[子丿糸至,chì,CJK-B]
𦥋	[歺人彡至,,CJK-B]
𦥌	[至日,,CJK-B]
𦥍	[至一自夂,jìng,CJK-B]
𦥎	[土丸至,zhì,CJK-B]
𦥏	[至至至,zhì,CJK-B]
𦥐	[厶口木至夂,zhì,CJK-B]
𦥑	[⺽,jú_jǔ_póu,CJK-B]
𦥒	[丨二乚一凵,,CJK-B]
𦥓	[丿龱,,CJK-B]
𦥔	[丨,,CJK-B]
𦥕	[臼丨𠃌,,CJK-B]
𦥖	[了臼,hán_xián,CJK-B]
𦥗	[臼丨了,,CJK-B]
𦥘	[寸,,CJK-B]
𦥙	[⺽㇂丿,,CJK-B]
𦥚	[臼丨一ㄅ,pīng,CJK-B]
𦥛	[千,,CJK-B]
𦥜	[夕臼,,CJK-B]
𦥝	[爪臼,yǎo,CJK-B]
𦥞	[臼欠,,CJK-B]
𦥟	[臼冖儿,,CJK-B]
𦥠	[臼又,,CJK-B]
𦥡	[臼一巾,,CJK-B]
𦥢	[臼,,CJK-B]
𦥣	[臼尤,yóu,CJK-B]
𦥤	[臼丨一,pīng,CJK-B]
𦥥	[臼一巾丿,,CJK-B]
𦥦	[臼一木,mò,CJK-B]
𦥧	[臼之,,CJK-B]
𦥨	[臼穴,,CJK-B]
𦥩	[臼一冂二,,CJK-B]
𦥪	[臼由,,CJK-B]
𦥫	[千臼,,CJK-B]
𦥬	[臼乍,zuò,CJK-B]
𦥭	[䒑臼,pò,CJK-B]
𦥮	[コ,,CJK-B]
𦥯	[乂乂冖,xué,CJK-B]
𦥰	[臼光,kuáng,CJK-B]
𦥱	[臼夕巾,yì,CJK-B]
𦥲	[千止臼,pò,CJK-B]
𦥳	[臼人㠯,,CJK-B]
𦥴	[人土臼,,CJK-B]
𦥵	[臼口,,CJK-B]
𦥶	[臼田力,,CJK-B]
𦥷	[冂二,,CJK-B]
𦥸	[一ㄅ丨廾,,CJK-B]
𦥹	[大手,,CJK-B]
𦥺	[丿冂乂⺽,,CJK-B]
𦥻	[臼千艹士,zhuì,CJK-B]
𦥼	[口〢乂,,CJK-B]
𦥽	[𠂉十又臼,,CJK-B]
𦥾	[䒑臼,,CJK-B]
𦥿	[光⺈臼,,CJK-B]
𦦀	[丨,,CJK-B]
𦦁	[乚,,CJK-B]
𦦂	[臼,,CJK-B]
𦦃	[日臼儿,ní,CJK-B]
𦦄	[日日臼,qiǔ,CJK-B]
𦦅	[臼㇏一大,còu,CJK-B]
𦦆	[臼大糸,,CJK-B]
𦦇	[臼山而,,CJK-B]
𦦈	[臼干臼,,CJK-B]
𦦉	[丿龱大,,CJK-B]
𦦊	[臼田力,,CJK-B]
𦦋	[臼八日土,,CJK-B]
𦦌	[爫臼刀口,yǎo,CJK-B]
𦦍	[臼王冂土,,CJK-B]
𦦎	[乂乂冖弓,,CJK-B]
𦦏	[亠{齊字腰}臼,,CJK-B]
𦦐	[臼甫寸,,CJK-B]
𦦑	[乂乂冖刀,fén,CJK-B]
𦦒	[丿龱又,,CJK-B]
𦦓	[人十又臼,,CJK-B]
𦦔	[臼丨田⽱,,CJK-B]
𦦕	[干臼大人人,xiá,CJK-B]
𦦖	[又又又又刀臼,,CJK-B]
𦦗	[乂乂冖木,jiāng,CJK-B]
𦦘	[干臼一龰,chā,CJK-B]
𦦙	[一ㄅ丨丰,,CJK-B]
𦦚	[人人,,CJK-B]
𦦛	[乂乂冖一,xiào,CJK-B]
𦦜	[㇏臼千止,chā,CJK-B]
𦦝	[宀亍冂㐅一丨,,CJK-B]
𦦞	[宀亍冖八一丨,,CJK-B]
𦦟	[冂一口刀,,CJK-B]
𦦠	[乂乂冖日丨,,CJK-B]
𦦡	[冂一口冖九十,,CJK-B]
𦦢	[尚攵臼,chéng,CJK-B]
𦦣	[臼日耳又,cuì,CJK-B]
𦦤	[丿龱曲,,CJK-B]
𦦥	[丿龱冖甘,,CJK-B]
𦦦	[臼臼人亡,,CJK-B]
𦦧	[冂一口冂八一丨,qióng_gǒng,CJK-B]
𦦨	[爫臼火火,,CJK-B]
𦦩	[缶冖夕⺋,yù,CJK-B]
𦦪	[爫臼,,CJK-B]
𦦫	[二ㄅ,yú,CJK-B]
𦦬	[古月冫,,CJK-B]
𦦭	[人亡,,CJK-B]
𦦮	[一ㄅ丨人王,,CJK-B]
𦦯	[乂乂冖𦈢,wèn,CJK-B]
𦦰	[臼士乛工一口寸,,CJK-B]
𦦱	[㇏臼干臼,chā,CJK-B]
𦦲	[一ㄅ一,yǔ_yù,CJK-B]
𦦳	[一ㄅ丨丷口儿,,CJK-B]
𦦴	[冂一口冖一由八,,CJK-B]
𦦵	[乂乂冖木八厶,,CJK-B]
𦦶	[古臣冫,,CJK-B]
𦦷	[丿龱田⽱,,CJK-B]
𦦸	[一ㄅ丨日勹,,CJK-B]
𦦹	[业凵殳臼,zuó,CJK-B]
𦦺	[㇏臼弓工工口,dǎo,CJK-B]
𦦻	[冂一口冖田⽱,,CJK-B]
𦦼	[米冖穴入夕,,CJK-B]
𦦽	[言糹糹臼,juàn_fàn,CJK-B]
𦦾	[㇏臼士乛工一口寸,dǎo,CJK-B]
𦦿	[貝貝女臼儿,yīng,CJK-B]
𦧀	[乂乂冖千黑,,CJK-B]
𦧁	[冂一口冖㇏,fěng,CJK-B]
𦧂	[丿龱丿龱大,,CJK-B]
𦧃	[尸米女艹隹臼,,CJK-B]
𦧄	[土儿臼一廾土儿,,CJK-B]
𦧅	[冂一口冂一口冂一口,wèng,CJK-B]
𦧆	[一,,CJK-B]
𦧇	[也,,CJK-B]
𦧈	[亼乛,jìn,CJK-B]
𦧉	[支,qì,CJK-B]
𦧊	[厶儿,,CJK-B]
𦧋	[舌牛,qìn,CJK-B]
𦧌	[丿廾,,CJK-B]
𦧍	[爪舌,kuò,CJK-B]
𦧎	[亼乛,,CJK-B]
𦧏	[井,tān,CJK-B]
𦧐	[厶十,xiān,CJK-B]
𦧑	[宀匕,,CJK-B]
𦧒	[舌古,tiān,CJK-B]
𦧓	[𠂉也,,CJK-B]
𦧔	[瓜,kuò,CJK-B]
𦧕	[⺈厂八,,CJK-B]
𦧖	[一囗人,tiàn,CJK-B]
𦧗	[自,,CJK-B]
𦧘	[冂人人舌,hú,CJK-B]
𦧙	[舌丿未,zhū,CJK-B]
𦧚	[,zhān,CJK-B]
𦧛	[舌亼口,tà,CJK-B]
𦧜	[舌一口,,CJK-B]
𦧝	[丿止廴,tiān,CJK-B]
𦧞	[舌水口,tà,CJK-B]
𦧟	[水曰,tà,CJK-B]
𦧠	[白巾舌,huá,CJK-B]
𦧡	[火火,yǎn_tiàn,CJK-B]
𦧢	[木,tiè,CJK-B]
𦧣	[侖,,CJK-B]
𦧤	[廿木,tiè,CJK-B]
𦧥	[水曰,tà,CJK-B]
𦧦	[爫冖又,,CJK-B]
𦧧	[日疋,,CJK-B]
𦧨	[亠口丿口,,CJK-B]
𦧩	[舌戊一口,,CJK-B]
𦧪	[日疋,,CJK-B]
𦧫	[彑,,CJK-B]
𦧬	[彑舌,huài,CJK-B]
𦧭	[⺜羽,,CJK-B]
𦧮	[宀丰口,jiá,CJK-B]
𦧯	[舌自心,qì,CJK-B]
𦧰	[自心,,CJK-B]
𦧱	[羽白,tà,CJK-B]
𦧲	[田糸,,CJK-B]
𦧳	[大人人氺,,CJK-B]
𦧴	[吅田十,tān,CJK-B]
𦧵	[,huà,CJK-B]
𦧶	[日人,,CJK-B]
𦧷	[舌广䒑,,CJK-B]
𦧸	[人巳巳龷八,zhuàn,CJK-B]
𦧹	[舌艹人人人人,huā,CJK-B]
𦧺	[束刀貝,,CJK-B]
𦧻	[匕匕兔,,CJK-B]
𦧼	[門束丷,lán,CJK-B]
𦧽	[舌彑氺虫虫,,CJK-B]
𦧾	[米夕㐄⺄十,,CJK-B]
𦧿	[火火夕㐄乚,,CJK-B]
𦨀	[木夕木歹㐄,,CJK-B]
𦨁	[爫冖夕㐄山丶王,,CJK-B]
𦨂	[甘木𠂉卌一夕㐄,,CJK-B]
𦨃	[匚火火夕㐄屮龶,,CJK-B]
𦨄	[匚火火夕㐄山丶王,,CJK-B]
𦨅	[大廿廿木木夕㐄,,CJK-B]
𦨆	[匕穴瓦米夕㐄,zūn,CJK-B]
𦨇	[舟乙,yì,CJK-B]
𦨈	[舟人,fú,CJK-B]
𦨉	[舟刂,wù,CJK-B]
𦨊	[舟丿乚,,CJK-B]
𦨋	[舟乃,fú,CJK-B]
𦨌	[舟⺋,,CJK-B]
𦨍	[舟丁,dīng,CJK-B]
𦨎	[舟丿七,tà,CJK-B]
𦨏	[舟𠂉乙,,CJK-B]
𦨐	[舟大,,CJK-B]
𦨑	[舟𬺰丿,,CJK-B]
𦨒	[舟弋,,CJK-B]
𦨓	[舟勹丶,,CJK-B]
𦨔	[舟刀丶,,CJK-B]
𦨕	[舟卩又,,CJK-B]
𦨖	[舟小丿,chào,CJK-B]
𦨗	[舟攴,,CJK-B]
𦨘	[舟二,,CJK-B]
𦨙	[舟日,rì,CJK-B]
𦨚	[舟犬,quǎn,CJK-B]
𦨛	[舟勹厶,,CJK-B]
𦨜	[舟戈,gē,CJK-B]
𦨝	[舟一彑,,CJK-B]
𦨞	[舟二儿,,CJK-B]
𦨟	[舟支,,CJK-B]
𦨠	[舟一幺,,CJK-B]
𦨡	[舟弗,fú,CJK-B]
𦨢	[舟氏一,dì,CJK-B]
𦨣	[舟刀口,diāo,CJK-B]
𦨤	[丶水舟,yǒng,CJK-B]
𦨥	[舟屮凵,,CJK-B]
𦨦	[力口舟,jià,CJK-B]
𦨧	[舟目,,CJK-B]
𦨨	[舟夕⺋,,CJK-B]
𦨩	[舟龙,lóng,CJK-B]
𦨪	[舟日一,,CJK-B]
𦨫	[舟干丷,,CJK-B]
𦨬	[舟丶水,yǒng,CJK-B]
𦨭	[舟皮,pí,CJK-B]
𦨮	[舟亻弋,,CJK-B]
𦨯	[舟舌,huó,CJK-B]
𦨰	[舟工阝,qióng,CJK-B]
𦨱	[舟聿,,CJK-B]
𦨲	[舟氵⺋,fán,CJK-B]
𦨳	[舟口一大,wú,CJK-B]
𦨴	[舟冂一口,tóng,CJK-B]
𦨵	[舟行,háng,CJK-B]
𦨶	[䒑大舟,,CJK-B]
𦨷	[舟亻戈,,CJK-B]
𦨸	[舟丿用,tān,CJK-B]
𦨹	[舟⺈厂⺋,,CJK-B]
𦨺	[丶水舟㇗,,CJK-B]
𦨻	[舟光,,CJK-B]
𦨼	[舟口ㄥ大,,CJK-B]
𦨽	[舟山亼乛,,CJK-B]
𦨾	[舟了,hēng,CJK-B]
𦨿	[舟⺄土廴,,CJK-B]
𦩀	[舟大人人,,CJK-B]
𦩁	[舟夂木,,CJK-B]
𦩂	[舟𠂉疋,,CJK-B]
𦩃	[舟丷口儿,,CJK-B]
𦩄	[舟乚土土,tiāo,CJK-B]
𦩅	[舟日干,,CJK-B]
𦩆	[舟丿扌,,CJK-B]
𦩇	[舟厶小又,,CJK-B]
𦩈	[舟厶矢,zhōu,CJK-B]
𦩉	[厶矢舟,,CJK-B]
𦩊	[舟臼儿,,CJK-B]
𦩋	[舟,bài,CJK-B]
𦩌	[舟一龰,xiè,CJK-B]
𦩍	[舟⺆土口,dāo_diāo,CJK-B]
𦩎	[舟火,,CJK-B]
𦩏	[舟隹,jīn_wéi,CJK-B]
𦩐	[舟犬巴,,CJK-B]
𦩑	[舟木人人,,CJK-B]
𦩒	[舟一,,CJK-B]
𦩓	[舟厶大三,,CJK-B]
𦩔	[舟矢彡,,CJK-B]
𦩕	[舟虎,hū,CJK-B]
𦩖	[舟白丿十,bēi,CJK-B]
𦩗	[舟火火,,CJK-B]
𦩘	[舟宀疋,dìng,CJK-B]
𦩙	[舟ヿ土ヿ土,,CJK-B]
𦩚	[舟木攵,,CJK-B]
𦩛	[舟目,,CJK-B]
𦩜	[舟立口,nuó,CJK-B]
𦩝	[舟田⺼,wèi,CJK-B]
𦩞	[舟亼月刂,yú,CJK-B]
𦩟	[舟𠂉日夂,,CJK-B]
𦩠	[舟日生,xīng,CJK-B]
𦩡	[舟一口田,fú,CJK-B]
𦩢	[舟戊一口,xiàn,CJK-B]
𦩣	[舟丰刀大,qì,CJK-B]
𦩤	[舟穴犬,tū,CJK-B]
𦩥	[舟日勹亾,,CJK-B]
𦩦	[舟聿彡,,CJK-B]
𦩧	[子子子舟,jí,CJK-B]
𦩨	[舟氵聿,,CJK-B]
𦩩	[舟丷夫女,yìng,CJK-B]
𦩪	[舟力口木,,CJK-B]
𦩫	[舟丷夫巾,dèng_téng,CJK-B]
𦩬	[舟戊一女,wēi,CJK-B]
𦩭	[舟田心,xī,CJK-B]
𦩮	[舟爫一𠂇又,,CJK-B]
𦩯	[舟尸曲,pái,CJK-B]
𦩰	[舟千里,,CJK-B]
𦩱	[舟丷夫土,shéng,CJK-B]
𦩲	[舟丷酉,yǒu,CJK-B]
𦩳	[舟耂日,,CJK-B]
𦩴	[舟山豆,ái,CJK-B]
𦩵	[舟䒑,jiàn,CJK-B]
𦩶	[舟爫幺大,,CJK-B]
𦩷	[舟井王冂,gōu,CJK-B]
𦩸	[舟弓冫弓冫,ruò,CJK-B]
𦩹	[舟爫臼,,CJK-B]
𦩺	[舟工几丶木,,CJK-B]
𦩻	[十日十𠂉舟,,CJK-B]
𦩼	[舟工貝,gòng,CJK-B]
𦩽	[舟巛一自,,CJK-B]
𦩾	[舟爫缶,,CJK-B]
𦩿	[舟千臼,shà,CJK-B]
𦪀	[舟广肀口,táng,CJK-B]
𦪁	[舟穴入夕,,CJK-B]
𦪂	[舟彳走,,CJK-B]
𦪃	[舟冖一豕,,CJK-B]
𦪄	[舟自王,,CJK-B]
𦪅	[舟广丿士廴,,CJK-B]
𦪆	[舟土,,CJK-B]
𦪇	[舟鹿,lù,CJK-B]
𦪈	[士方攵舟,áo,CJK-B]
𦪉	[舟氵隹,,CJK-B]
𦪊	[舟戊⺊一小,qì,CJK-B]
𦪋	[舟羊ヿ土,xiū,CJK-B]
𦪌	[舟宀大可,,CJK-B]
𦪍	[舟止豆,dāi,CJK-B]
𦪎	[舟夂丰辶,,CJK-B]
𦪏	[舟龴用辶,,CJK-B]
𦪐	[舟丿心,,CJK-B]
𦪑	[舟癶弓殳,fá,CJK-B]
𦪒	[舟虫貝,wèi,CJK-B]
𦪓	[舟肀片爿一,,CJK-B]
𦪔	[舟子攵,dùn,CJK-B]
𦪕	[舟大丷日小,liáo,CJK-B]
𦪖	[舟丿米田,fān,CJK-B]
𦪗	[舟黃,huáng_héng,CJK-B]
𦪘	[舟厂䒑欠,jué,CJK-B]
𦪙	[舟亼口羽,tà,CJK-B]
𦪚	[舟丷酉寸,zùn,CJK-B]
𦪛	[舟土土土一儿,ráo,CJK-B]
𦪜	[舟厶厶厶人⺗,cān,CJK-B]
𦪝	[舟丷夫糸,téng,CJK-B]
𦪞	[舟丿大口冂口,,CJK-B]
𦪟	[舟壴彡,,CJK-B]
𦪠	[舟艹艹,huà,CJK-B]
𦪡	[舟虍业,xū,CJK-B]
𦪢	[舟吅田十,,CJK-B]
𦪣	[吅田十舟,zhān,CJK-B]
𦪤	[舟舟勹方,,CJK-B]
𦪥	[舟穴亻白,,CJK-B]
𦪦	[舟手,,CJK-B]
𦪧	[舟工耳攵,gǎn,CJK-B]
𦪨	[舟⻊一口,,CJK-B]
𦪩	[舟亼龴,,CJK-B]
𦪪	[舟⺮夂丰,péng,CJK-B]
𦪫	[舟歺又米,cān,CJK-B]
𦪬	[舟日勹亾欠,xiē,CJK-B]
𦪭	[舟土羊辶,dá,CJK-B]
𦪮	[舟人人人人一丿工,,CJK-B]
𦪯	[舟戶日皿,,CJK-B]
𦪰	[屮凵方攵舟,,CJK-B]
𦪱	[臣一肀女舟,jì,CJK-B]
